discount_20240615_1838;order_id;product_id;quantity_20240615_1838;unit_price_20240615_1838;discount_20240615_1840;quantity_20240615_1840;unit_price_20240615_1840;discount_20240615_2236;quantity_20240615_2236;unit_price_20240615_2236;discount;quantity;unit_price;customer_id;employee_id;freight;order_date;order_id;required_date;ship_address;ship_city;ship_country;ship_name;ship_postal_code;ship_region;ship_via;shipped_date
0;10248;11;12;14;0;12;14;0;12;14;0;12;14;VINET;5;32.38;1996-07-04;10248;1996-08-01;'59 rue de l''Abbaye';Reims;France;Vins et alcools Chevalier;51100;;3;1996-07-16
0;10248;42;10;9.8;0;10;9.8;0;10;9.8;0;10;9.8;VINET;5;32.38;1996-07-04;10248;1996-08-01;'59 rue de l''Abbaye';Reims;France;Vins et alcools Chevalier;51100;;3;1996-07-16
0;10248;72;5;34.8;0;5;34.8;0;5;34.8;0;5;34.8;VINET;5;32.38;1996-07-04;10248;1996-08-01;'59 rue de l''Abbaye';Reims;France;Vins et alcools Chevalier;51100;;3;1996-07-16
0;10249;14;9;18.6;0;9;18.6;0;9;18.6;0;9;18.6;TOMSP;6;11.61;1996-07-05;10249;1996-08-16;Luisenstr. 48;Münster;Germany;Toms Spezialitäten;44087;;1;1996-07-10
0;10249;51;40;42.4;0;40;42.4;0;40;42.4;0;40;42.4;TOMSP;6;11.61;1996-07-05;10249;1996-08-16;Luisenstr. 48;Münster;Germany;Toms Spezialitäten;44087;;1;1996-07-10
0;10250;41;10;7.7;0;10;7.7;0;10;7.7;0;10;7.7;HANAR;4;65.83;1996-07-08;10250;1996-08-05;Rua do Paço, 67;Rio de Janeiro;Brazil;Hanari Carnes;05454-876;RJ;2;1996-07-12
0.15;10250;51;35;42.4;0.15;35;42.4;0.15;35;42.4;0.15;35;42.4;HANAR;4;65.83;1996-07-08;10250;1996-08-05;Rua do Paço, 67;Rio de Janeiro;Brazil;Hanari Carnes;05454-876;RJ;2;1996-07-12
0.15;10250;65;15;16.8;0.15;15;16.8;0.15;15;16.8;0.15;15;16.8;HANAR;4;65.83;1996-07-08;10250;1996-08-05;Rua do Paço, 67;Rio de Janeiro;Brazil;Hanari Carnes;05454-876;RJ;2;1996-07-12
0.05;10251;22;6;16.8;0.05;6;16.8;0.05;6;16.8;0.05;6;16.8;VICTE;3;41.34;1996-07-08;10251;1996-08-05;2, rue du Commerce;Lyon;France;Victuailles en stock;69004;;1;1996-07-15
0.05;10251;57;15;15.6;0.05;15;15.6;0.05;15;15.6;0.05;15;15.6;VICTE;3;41.34;1996-07-08;10251;1996-08-05;2, rue du Commerce;Lyon;France;Victuailles en stock;69004;;1;1996-07-15
0;10251;65;20;16.8;0;20;16.8;0;20;16.8;0;20;16.8;VICTE;3;41.34;1996-07-08;10251;1996-08-05;2, rue du Commerce;Lyon;France;Victuailles en stock;69004;;1;1996-07-15
0.05;10252;20;40;64.8;0.05;40;64.8;0.05;40;64.8;0.05;40;64.8;SUPRD;4;51.3;1996-07-09;10252;1996-08-06;Boulevard Tirou, 255;Charleroi;Belgium;Suprêmes délices;B-6000;;2;1996-07-11
0.05;10252;33;25;2;0.05;25;2;0.05;25;2;0.05;25;2;SUPRD;4;51.3;1996-07-09;10252;1996-08-06;Boulevard Tirou, 255;Charleroi;Belgium;Suprêmes délices;B-6000;;2;1996-07-11
0;10252;60;40;27.2;0;40;27.2;0;40;27.2;0;40;27.2;SUPRD;4;51.3;1996-07-09;10252;1996-08-06;Boulevard Tirou, 255;Charleroi;Belgium;Suprêmes délices;B-6000;;2;1996-07-11
0;10253;31;20;10;0;20;10;0;20;10;0;20;10;HANAR;3;58.17;1996-07-10;10253;1996-07-24;Rua do Paço, 67;Rio de Janeiro;Brazil;Hanari Carnes;05454-876;RJ;2;1996-07-16
0;10253;39;42;14.4;0;42;14.4;0;42;14.4;0;42;14.4;HANAR;3;58.17;1996-07-10;10253;1996-07-24;Rua do Paço, 67;Rio de Janeiro;Brazil;Hanari Carnes;05454-876;RJ;2;1996-07-16
0;10253;49;40;16;0;40;16;0;40;16;0;40;16;HANAR;3;58.17;1996-07-10;10253;1996-07-24;Rua do Paço, 67;Rio de Janeiro;Brazil;Hanari Carnes;05454-876;RJ;2;1996-07-16
0.15;10254;24;15;3.6;0.15;15;3.6;0.15;15;3.6;0.15;15;3.6;CHOPS;5;22.98;1996-07-11;10254;1996-08-08;Hauptstr. 31;Bern;Switzerland;Chop-suey Chinese;3012;;2;1996-07-23
0.15;10254;55;21;19.2;0.15;21;19.2;0.15;21;19.2;0.15;21;19.2;CHOPS;5;22.98;1996-07-11;10254;1996-08-08;Hauptstr. 31;Bern;Switzerland;Chop-suey Chinese;3012;;2;1996-07-23
0;10254;74;21;8;0;21;8;0;21;8;0;21;8;CHOPS;5;22.98;1996-07-11;10254;1996-08-08;Hauptstr. 31;Bern;Switzerland;Chop-suey Chinese;3012;;2;1996-07-23
0;10255;2;20;15.2;0;20;15.2;0;20;15.2;0;20;15.2;RICSU;9;148.33;1996-07-12;10255;1996-08-09;Starenweg 5;Genève;Switzerland;Richter Supermarkt;1204;;3;1996-07-15
0;10255;16;35;13.9;0;35;13.9;0;35;13.9;0;35;13.9;RICSU;9;148.33;1996-07-12;10255;1996-08-09;Starenweg 5;Genève;Switzerland;Richter Supermarkt;1204;;3;1996-07-15
0;10255;36;25;15.2;0;25;15.2;0;25;15.2;0;25;15.2;RICSU;9;148.33;1996-07-12;10255;1996-08-09;Starenweg 5;Genève;Switzerland;Richter Supermarkt;1204;;3;1996-07-15
0;10255;59;30;44;0;30;44;0;30;44;0;30;44;RICSU;9;148.33;1996-07-12;10255;1996-08-09;Starenweg 5;Genève;Switzerland;Richter Supermarkt;1204;;3;1996-07-15
0;10256;53;15;26.2;0;15;26.2;0;15;26.2;0;15;26.2;WELLI;3;13.97;1996-07-15;10256;1996-08-12;Rua do Mercado, 12;Resende;Brazil;Wellington Importadora;08737-363;SP;2;1996-07-17
0;10256;77;12;10.4;0;12;10.4;0;12;10.4;0;12;10.4;WELLI;3;13.97;1996-07-15;10256;1996-08-12;Rua do Mercado, 12;Resende;Brazil;Wellington Importadora;08737-363;SP;2;1996-07-17
0;10257;27;25;35.1;0;25;35.1;0;25;35.1;0;25;35.1;HILAA;4;81.91;1996-07-16;10257;1996-08-13;Carrera 22 con Ave. Carlos Soublette #8-35;San Cristóbal;Venezuela;HILARION-Abastos;5022;Táchira;3;1996-07-22
